elapsed_time_sec,fps,cpu_percent,memory_percent,memory_used_mb
0.41,0,0.0,12.31,990.98
1.41,0,98.9,12.89,1037.48
2.41,5.64,106.9,12.89,1037.98
3.41,10.78,106.0,12.89,1037.98
4.41,10.83,104.9,12.89,1037.98
5.41,10.75,107.9,12.89,1037.98
6.41,10.84,108.9,12.89,1037.98
7.41,10.71,107.9,12.89,1037.98
8.41,10.85,108.0,12.89,1037.98
9.41,10.83,105.9,12.89,1037.98
10.42,10.8,106.9,12.89,1037.98
11.42,10.8,110.9,12.89,1037.98
12.42,10.77,107.9,12.89,1037.98
13.42,10.82,107.0,12.89,1037.98
14.42,10.83,106.9,12.89,1037.98
15.42,10.76,105.9,12.89,1037.98
16.42,10.83,107.9,12.89,1037.98
17.42,10.79,105.9,12.89,1037.98
18.42,10.81,106.9,12.89,1037.98
19.42,10.76,108.7,12.89,1037.98
20.42,10.81,106.9,12.89,1037.98
21.43,10.82,111.9,12.89,1037.98
22.43,10.79,108.9,12.89,1037.98
23.43,10.79,108.9,12.89,1037.98
24.43,10.78,107.9,12.89,1037.98
25.43,10.84,109.0,12.89,1037.98
26.43,10.77,109.9,12.89,1037.98
27.43,10.81,106.0,12.89,1037.98
28.43,10.79,107.9,12.89,1037.98
29.43,10.84,104.9,12.89,1037.98
30.43,10.78,110.8,12.89,1037.98
31.44,10.77,111.5,12.89,1037.98
32.44,10.84,105.9,12.89,1037.98
33.44,10.76,105.9,12.89,1037.98
34.44,10.83,107.9,12.89,1037.98
35.44,10.8,106.9,12.89,1037.98
36.44,10.79,111.9,12.89,1037.98
37.44,10.79,108.9,12.89,1037.98
38.44,10.81,105.8,12.89,1037.98
39.44,10.81,110.0,12.89,1037.98
40.44,10.81,106.9,12.89,1037.98
41.44,10.81,109.9,12.89,1037.98
42.45,10.8,106.8,12.89,1037.98
43.45,10.76,105.9,12.89,1037.98
44.45,10.84,108.9,12.89,1037.98
45.45,10.77,108.9,12.89,1037.98
46.45,10.79,112.9,12.89,1037.98
47.45,10.83,106.9,12.89,1037.98
48.45,10.8,105.9,12.89,1037.98
49.45,10.81,106.9,12.89,1037.98
50.45,10.74,111.0,12.89,1037.98
51.45,10.84,112.8,12.89,1037.98
52.45,10.81,107.9,12.89,1037.98
53.46,10.78,108.8,12.89,1037.98
54.46,10.8,105.8,12.89,1037.98
55.46,10.77,106.9,12.89,1037.98
56.46,10.77,120.7,12.89,1037.98
57.46,10.85,103.8,12.89,1037.98
58.46,10.79,106.9,12.89,1037.98
59.46,10.82,107.9,12.89,1037.98
60.47,10.76,107.9,12.89,1037.98
61.47,10.85,118.9,12.89,1037.98
62.47,10.79,105.8,12.89,1037.98
63.47,10.8,105.9,12.89,1037.98
64.47,10.79,106.9,12.89,1037.98
65.47,10.81,103.9,12.89,1037.98
66.47,10.8,119.0,12.89,1037.98
67.47,10.81,105.8,12.89,1037.98
68.47,10.73,103.8,12.89,1037.98
69.48,10.85,106.8,12.89,1037.98
70.48,10.8,105.0,12.89,1037.98
71.48,10.83,115.0,12.89,1037.98
72.48,10.77,105.6,12.89,1037.98
73.48,10.81,104.5,12.89,1037.98
74.48,10.79,104.9,12.89,1037.98
75.49,10.82,104.0,12.89,1037.98
76.49,10.58,120.9,12.89,1037.98
77.49,10.98,108.0,12.89,1037.98
78.49,10.81,103.0,12.89,1037.98
79.49,10.8,107.9,12.89,1037.98
80.49,10.79,105.8,12.89,1037.98
81.49,10.79,123.0,12.89,1037.98
82.49,10.78,109.0,12.89,1037.98
83.49,10.84,104.9,12.89,1037.98
84.49,10.8,106.9,12.89,1037.98
85.49,10.82,106.9,12.89,1037.98
86.49,10.59,120.8,12.89,1037.98
87.5,10.95,115.9,12.89,1037.98
88.5,10.73,104.9,12.89,1037.98
89.5,10.94,105.8,12.89,1037.98
90.5,10.8,105.8,12.89,1037.98
91.5,10.75,117.9,12.89,1037.98
92.5,10.86,110.9,12.89,1037.98
93.5,10.79,105.8,12.89,1037.98
94.51,10.78,106.5,12.89,1037.98
95.51,10.83,104.0,12.89,1037.98
96.51,10.76,111.9,12.89,1037.98
97.51,10.83,108.9,12.89,1037.98
98.51,10.8,106.9,12.89,1037.98
99.51,10.77,102.9,12.89,1037.98
100.51,10.83,102.9,12.89,1037.98
101.51,10.76,119.9,12.89,1037.98
102.51,10.84,108.9,12.89,1037.98
103.51,10.82,105.9,12.89,1037.98
