elapsed_time_sec,fps,cpu_percent,memory_percent,memory_used_mb
0.39,0,0.0,12.29,991.08
1.39,0,156.4,12.85,1034.58
2.39,0.56,291.7,12.88,1037.08
3.39,11.0,193.8,12.88,1037.08
4.4,10.83,167.6,12.88,1037.08
5.4,10.8,156.6,12.88,1037.08
6.4,10.84,160.9,12.88,1037.08
7.4,10.76,168.9,12.89,1037.58
8.4,10.8,168.8,12.89,1037.58
9.4,10.64,171.8,12.89,1037.58
10.4,10.96,164.9,12.89,1037.58
11.41,10.77,168.3,12.89,1037.58
12.41,10.83,167.8,12.89,1037.58
13.41,10.79,167.8,12.89,1037.58
14.41,10.79,167.8,12.89,1037.58
15.41,10.86,165.9,12.89,1037.58
16.41,10.86,161.9,12.89,1037.58
17.41,10.75,167.8,12.89,1037.58
18.41,10.84,171.8,12.89,1037.58
19.42,10.77,170.9,12.92,1040.08
20.42,10.62,179.1,12.92,1040.08
21.42,10.95,167.9,12.92,1040.08
22.42,10.86,165.7,12.92,1040.08
23.42,10.82,168.9,12.92,1040.08
24.42,10.76,168.9,12.92,1040.08
25.42,10.84,162.9,12.92,1040.08
26.43,10.73,160.9,12.92,1040.08
27.43,10.86,167.0,12.92,1040.08
28.43,10.76,164.8,12.92,1040.08
29.43,10.83,170.8,12.92,1040.08
30.44,10.81,155.7,12.92,1040.08
31.44,10.83,169.7,12.92,1040.08
32.44,10.77,168.7,12.92,1040.08
33.44,10.79,167.5,12.92,1040.08
34.44,10.8,166.5,12.92,1040.08
35.45,10.77,173.7,12.92,1040.08
36.45,10.85,170.9,12.92,1040.08
37.45,10.77,168.8,12.92,1040.08
38.46,10.8,170.6,12.92,1040.08
39.46,10.8,165.8,12.92,1040.08
40.46,10.82,152.0,12.92,1040.08
41.47,10.82,166.6,12.92,1040.08
42.47,10.76,170.9,12.92,1040.08
43.47,10.85,167.8,12.92,1040.08
44.47,10.79,166.4,12.93,1040.58
45.47,10.8,166.9,12.93,1040.58
46.47,10.75,166.9,12.93,1040.58
47.48,10.8,172.6,12.93,1040.58
48.48,10.82,165.9,12.93,1040.58
49.48,10.78,173.8,12.93,1040.58
50.48,10.84,157.7,12.93,1040.58
51.48,10.8,166.8,12.93,1040.58
52.48,10.79,169.7,12.93,1040.58
53.48,10.8,170.9,12.93,1040.58
54.49,10.81,174.2,12.93,1040.58
55.49,10.75,177.4,12.93,1040.58
56.5,10.99,160.3,12.93,1040.58
57.5,10.66,164.9,12.93,1040.58
58.5,10.81,169.9,12.93,1040.58
59.5,10.65,172.8,12.93,1040.58
60.5,10.9,158.8,12.93,1040.58
61.5,10.82,149.9,12.93,1040.58
62.5,10.82,163.9,12.93,1040.58
63.5,10.82,165.9,12.93,1040.58
64.5,10.84,170.7,12.93,1040.58
65.51,10.73,150.7,12.93,1040.58
66.51,10.81,161.6,12.93,1040.58
67.51,10.81,162.9,12.93,1040.58
68.51,10.81,167.9,12.93,1040.58
69.51,10.76,168.8,12.93,1040.58
70.51,10.8,161.8,12.93,1040.58
71.52,10.82,167.1,12.93,1040.58
72.52,10.82,166.6,12.93,1040.58
73.52,10.81,168.6,12.93,1040.58
74.52,10.79,175.8,12.93,1040.58
75.52,10.64,168.8,12.93,1040.58
76.52,11.0,167.8,12.93,1040.58
77.53,10.8,168.5,12.93,1040.58
78.54,10.75,166.6,12.93,1040.58
79.54,10.85,164.7,12.93,1040.58
80.54,10.94,160.8,12.93,1040.58
81.55,10.64,167.8,12.93,1040.58
82.55,10.82,166.8,12.93,1040.58
83.55,10.79,168.4,12.93,1040.58
84.55,10.8,163.7,12.93,1040.58
85.56,10.79,161.1,12.93,1040.58
86.56,10.82,160.9,12.93,1040.58
87.56,10.83,167.9,12.93,1040.58
88.56,10.8,155.9,12.93,1040.58
89.56,10.81,175.4,12.93,1040.58
90.56,10.76,167.9,12.93,1040.58
91.57,10.82,165.8,12.93,1040.58
92.57,10.81,169.9,12.93,1040.58
93.57,10.77,164.8,12.93,1040.58
94.57,10.84,169.5,12.93,1040.58
95.57,10.78,168.8,12.93,1040.58
96.57,10.82,162.9,12.93,1040.58
97.57,10.79,161.9,12.93,1040.58
98.57,10.73,168.9,12.93,1040.58
99.58,10.83,173.0,12.93,1040.58
100.58,10.86,169.3,12.93,1040.58
101.58,10.78,166.8,12.93,1040.58
102.59,10.79,167.5,12.93,1040.58
103.59,10.79,169.7,12.93,1040.58
104.59,10.82,169.6,12.93,1040.58
105.59,10.76,162.9,12.93,1040.58
106.6,10.73,169.5,12.93,1040.58
107.6,10.88,161.8,12.93,1040.58
108.6,10.85,167.9,12.93,1040.58
109.6,10.78,169.4,12.93,1040.58
110.6,10.83,164.8,12.93,1040.58
111.6,10.79,161.7,12.93,1040.58
112.61,10.8,163.6,12.93,1040.58
113.61,10.81,165.8,12.93,1040.58
114.61,10.79,170.9,12.93,1040.58
115.62,10.8,168.7,12.93,1040.58
116.62,10.82,165.9,12.93,1040.58
117.62,10.8,168.8,12.93,1040.58
118.62,10.79,166.1,12.93,1040.58
119.62,10.5,165.9,12.93,1040.58
120.63,10.97,162.9,12.93,1040.58
121.63,10.94,153.9,12.93,1040.58
122.63,10.83,166.3,12.93,1040.58
123.63,10.77,167.8,12.93,1040.58
124.63,10.76,172.8,12.93,1040.58
125.63,10.83,156.8,12.93,1040.58
126.64,10.77,169.8,12.93,1040.58
127.64,10.85,166.8,12.93,1040.58
128.64,10.78,169.4,12.93,1040.58
129.64,10.55,169.4,12.93,1040.58
130.64,10.55,166.8,12.93,1040.58
131.65,11.01,159.8,12.93,1040.58
