elapsed_time_sec,fps,cpu_percent,memory_percent,memory_used_mb
0.34,0,0.0,5.45,438.52
1.35,0,53.8,5.86,471.52
2.47,0,173.3,6.62,532.62
3.53,0.39,239.9,6.71,540.12
4.59,4.72,254.4,6.71,540.12
5.65,4.66,255.0,6.71,540.12
6.8,5.22,239.7,6.71,540.12
7.88,5.69,252.5,6.71,540.12
9.04,5.14,234.0,6.71,540.12
10.12,5.36,257.1,6.71,540.12
11.27,4.41,231.3,6.71,540.12
12.33,4.55,264.0,6.71,540.12
13.43,4.61,250.3,6.71,540.12
14.5,5.59,266.6,6.71,540.12
15.97,4.03,97.9,6.71,540.12
16.97,2.56,76.8,6.71,540.12
18.0,2.56,113.8,6.71,540.12
19.16,3.53,164.7,6.71,540.12
20.34,3.39,159.2,6.71,540.12
21.34,3.39,140.5,6.72,540.62
22.39,3.84,197.0,6.72,540.62
23.51,3.84,251.5,6.72,540.62
24.57,5.28,261.4,6.72,540.62
25.69,3.96,243.0,6.72,540.62
26.84,4.2,235.5,6.72,540.62
27.97,4.6,248.7,6.72,540.62
29.04,4.55,254.7,6.72,540.62
30.11,4.7,263.4,6.72,540.62
31.26,4.46,228.0,6.72,540.62
32.34,4.5,255.9,6.72,541.12
33.46,4.5,253.0,6.73,541.62
34.54,4.46,253.4,6.73,541.62
35.65,5.44,250.8,6.73,541.62
36.81,5.09,240.9,6.73,541.62
37.97,3.8,236.8,6.73,541.62
39.05,5.09,250.7,6.73,541.62
40.12,4.67,267.3,6.73,541.62
41.3,4.34,224.2,6.73,541.62
42.38,4.64,258.7,6.73,541.62
43.47,5.37,244.5,6.73,541.62
44.56,3.74,240.4,6.73,541.62
45.68,5.3,254.5,6.73,541.62
46.88,4.18,232.2,6.73,541.62
47.96,4.56,259.5,6.73,541.62
49.04,3.79,268.7,6.73,541.62
50.12,4.62,264.2,6.73,541.62
51.28,4.27,237.7,6.73,541.62
52.37,4.6,245.4,6.73,541.62
53.44,4.76,259.1,6.73,541.62
54.6,4.58,238.5,6.73,541.62
55.77,4.11,242.9,6.73,541.62
56.89,5.11,235.4,6.73,541.62
57.99,4.54,252.9,6.73,541.62
59.08,3.81,259.3,6.73,541.62
60.17,5.39,248.4,6.73,541.62
61.18,5.39,217.9,6.73,541.62
62.3,4.26,250.6,6.73,541.62
63.44,5.27,257.2,6.73,541.62
64.53,4.42,258.7,6.73,541.62
65.61,5.35,259.2,6.73,541.62
66.79,3.6,237.1,6.73,541.62
67.87,4.42,247.3,6.73,541.62
68.93,4.66,245.5,6.73,541.62
70.06,4.65,236.3,6.73,541.62
71.23,5.25,228.2,6.73,541.62
72.29,4.35,252.8,6.73,541.62
73.39,4.67,250.5,6.73,541.62
74.49,4.52,262.5,6.73,541.62
75.59,5.33,255.3,6.73,541.62
76.72,3.66,240.0,6.73,541.62
77.81,5.37,250.7,6.73,541.62
78.92,5.37,255.5,6.73,541.62
80.03,3.83,259.3,6.73,541.62
81.03,4.51,231.3,6.73,541.62
82.15,4.06,236.6,6.73,541.62
83.23,4.54,258.7,6.73,541.62
84.31,5.44,252.5,6.73,541.62
85.38,4.66,257.4,6.73,541.62
86.55,4.34,238.0,6.73,541.62
87.73,3.65,236.9,6.73,541.62
88.85,4.28,242.0,6.73,541.62
89.9,3.86,260.0,6.73,541.62
91.08,4.5,228.2,6.73,541.62
92.16,4.42,256.2,6.73,541.62
93.25,4.6,262.4,6.73,541.62
94.36,4.6,243.1,6.73,541.62
95.47,4.5,241.1,6.73,541.62
96.64,4.46,233.1,6.73,541.62
97.79,4.32,228.1,6.73,541.62
98.9,4.33,258.8,6.73,541.62
99.96,4.62,263.3,6.73,541.62
101.15,4.63,234.7,6.73,541.62
102.25,4.19,260.4,6.73,541.62
103.32,4.63,252.9,6.73,541.62
104.41,4.56,252.8,6.73,541.62
105.57,5.1,240.4,6.73,541.62
106.57,3.55,216.7,6.73,541.62
107.85,4.4,188.3,6.73,541.62
109.04,4.39,233.1,6.73,541.62
110.1,3.87,259.4,6.73,541.62
111.27,4.41,230.5,6.73,541.62
112.39,4.25,247.6,6.73,541.62
113.5,4.61,249.4,6.73,541.62
114.63,5.25,236.4,6.73,541.62
115.71,5.25,238.0,6.73,541.62
116.87,3.91,236.6,6.73,541.62
118.02,4.35,231.4,6.73,541.62
119.11,5.24,268.2,6.73,541.62
120.21,4.6,257.1,6.73,541.62
121.34,4.56,236.6,6.73,541.62
122.41,4.48,253.2,6.73,541.62
123.52,3.61,257.7,6.73,541.62
124.62,4.55,258.8,6.73,541.62
125.69,4.68,231.2,6.73,541.62
126.85,4.36,245.0,6.73,541.62
127.97,5.26,246.1,6.73,541.62
129.1,3.62,248.4,6.73,541.62
130.2,4.55,252.1,6.73,541.62
131.32,4.38,237.6,6.73,541.62
132.41,4.63,249.3,6.73,541.62
133.51,5.34,251.0,6.73,541.62
134.62,3.73,252.6,6.73,541.62
135.75,4.6,248.6,6.73,541.62
136.89,5.02,251.7,6.73,541.62
137.97,5.02,262.0,6.73,541.62
139.07,4.62,256.7,6.73,541.62
140.16,4.56,263.0,6.73,541.62
141.16,4.62,219.2,6.73,541.62
142.21,4.15,264.8,6.73,541.62
143.26,4.72,264.2,6.73,541.62
144.39,4.73,249.4,6.73,541.62
145.49,4.35,263.1,6.73,541.62
146.67,4.3,233.4,6.73,541.62
147.73,4.6,267.1,6.73,541.62
148.87,4.6,242.1,6.73,541.62
149.96,4.43,250.9,6.73,541.62
151.14,4.61,235.6,6.73,541.62
152.24,4.24,242.0,6.73,541.62
153.36,4.53,253.9,6.73,541.62
154.46,4.57,254.2,6.73,541.62
155.51,4.57,259.5,6.73,541.62
156.69,4.74,236.4,6.73,541.62
157.8,4.26,255.5,6.73,541.62
158.9,4.48,261.3,6.73,541.62
160.0,4.57,242.7,6.73,541.62
161.2,4.53,228.2,6.73,541.62
162.27,4.16,254.5,6.73,541.62
163.38,4.69,247.0,6.73,541.62
164.47,4.51,258.8,6.73,541.62
165.56,4.59,260.6,6.73,541.62
166.75,4.36,219.2,6.73,541.62
167.83,4.46,266.5,6.73,541.62
168.9,4.61,259.1,6.73,541.62
170.0,4.68,248.3,6.73,541.62
171.16,4.63,241.9,6.73,541.62
172.31,4.13,227.1,6.73,541.62
173.37,5.51,251.9,6.73,541.62
174.43,4.72,260.3,6.73,541.62
175.51,4.72,258.4,6.73,541.62
176.67,3.92,227.5,6.73,541.62
177.81,4.31,252.1,6.73,541.62
178.91,5.18,259.8,6.73,541.62
180.04,3.71,253.2,6.73,541.62
181.25,4.44,229.9,6.73,541.62
182.34,4.16,262.4,6.73,541.62
183.48,4.48,248.9,6.73,541.62
184.54,5.31,274.3,6.73,541.62
185.64,3.79,244.5,6.73,541.62
186.82,4.4,238.0,6.73,541.62
187.92,5.17,243.7,6.73,541.62
189.03,3.74,245.4,6.73,541.62
190.11,5.33,261.5,6.73,541.62
191.28,3.72,232.1,6.73,541.62
192.37,4.27,247.6,6.73,541.62
193.48,4.61,261.5,6.73,541.62
194.62,4.5,243.6,6.73,541.62
195.72,4.39,250.7,6.73,541.62
196.73,4.41,225.1,6.73,541.62
197.81,4.99,245.7,6.73,541.62
198.96,3.85,243.7,6.73,541.62
200.04,4.44,258.7,6.73,541.62
201.19,4.63,236.9,6.73,541.62
202.36,5.74,236.2,6.73,541.62
203.43,3.91,251.8,6.73,541.62
204.52,4.66,259.5,6.73,541.62
205.63,4.54,250.1,6.73,541.62
206.77,4.36,230.1,6.73,541.62
207.94,4.36,231.6,6.73,541.62
209.03,4.31,244.8,6.73,541.62
210.12,4.58,259.7,6.73,541.62
211.27,4.61,236.0,6.73,541.62
212.41,4.27,257.5,6.73,541.62
213.54,4.45,244.6,6.73,541.62
214.66,4.51,249.0,6.73,541.62
215.76,5.23,244.7,6.73,541.62
216.95,3.52,229.4,6.73,541.62
218.02,5.22,249.4,6.73,541.62
219.15,4.59,245.6,6.73,541.62
220.26,4.4,251.7,6.73,541.62
221.43,4.25,228.0,6.73,541.62
222.52,4.62,255.7,6.73,541.62
223.6,4.6,261.1,6.73,541.62
224.67,5.5,261.8,6.73,541.62
225.76,4.58,251.9,6.73,541.62
226.93,4.58,243.8,6.73,541.62
228.03,3.66,251.8,6.73,541.62
229.1,4.55,265.9,6.73,541.62
230.19,4.68,252.5,6.73,541.62
231.34,4.56,231.2,6.73,541.62
232.45,4.41,261.9,6.73,541.62
233.59,4.49,258.1,6.73,541.62
234.71,4.34,257.4,6.73,541.62
235.82,4.52,247.8,6.73,541.62
236.96,5.05,238.0,6.73,541.62
238.07,3.74,250.1,6.73,541.62
239.14,5.34,251.7,6.73,541.62
240.24,3.87,254.9,6.73,541.62
241.4,4.71,241.4,6.73,541.62
242.5,4.31,247.8,6.73,541.62
